日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,218A,Ｌｉｂｅｒａｗａｒｅ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,255A,ジーエルテクノホールディングス,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,268A,リガク・ホールディングス,プライム（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,4543,テルモ,プライム（内国株式）,3750,精密機器,9,電機・精密,2,TOPIX Large70
20241031,5187,クリエートメディック,スタンダード（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,6376,日機装,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7600,日本エム・ディ・エム,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7701,島津製作所,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,7702,ＪＭＳ,スタンダード（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7707,プレシジョン・システム・サイエンス,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7709,クボテック,スタンダード（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7711,助川電気工業,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7713,シグマ光機,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7715,長野計器,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7716,ナカニシ,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7717,ブイ・テクノロジー,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7719,東京衡機,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7721,東京計器,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7722,国際計測器,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7723,愛知時計電機,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7725,インターアクション,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7727,オーバル,スタンダード（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7729,東京精密,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,7730,マニー,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,7731,ニコン,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,7732,トプコン,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,7733,オリンパス,プライム（内国株式）,3750,精密機器,9,電機・精密,2,TOPIX Large70
20241031,7734,理研計器,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7740,タムロン,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7741,ＨＯＹＡ,プライム（内国株式）,3750,精密機器,9,電機・精密,1,TOPIX Core30
20241031,7743,シード,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7744,ノーリツ鋼機,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7745,Ａ＆Ｄホロンホールディングス,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7746,岡本硝子,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7747,朝日インテック,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
20241031,7749,メディキット,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7760,ＩＭＶ,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7762,シチズン時計,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7769,リズム,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7771,日本精密,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7774,ジャパン・ティッシュエンジニアリング,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7775,大研医器,スタンダード（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7776,セルシード,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7777,スリー・ディー・マトリックス,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7779,ＣＹＢＥＲＤＹＮＥ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7780,メニコン,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,7781,平山ホールディングス,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20241031,7782,シンシア,スタンダード（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,7979,松風,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
20241031,8050,セイコーグループ,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20241031,8086,ニプロ,プライム（内国株式）,3750,精密機器,9,電機・精密,4,TOPIX Mid400
